content;category
"Nice house! Thanks, don't Mansion it.";OTHER
"I was writing deep messages, took a while to Sink in.";OTHER
"I only carry small flashlights are they are Light weight.";OTHER
"The Optics test Seemed easy, but it was just an Illusion.";PHYSICS
"Pop exploding is an example of a Fizzical change.";PHYSICS
"Let's play a Star Wars song! It's quite Duelble.";OTHER
"What instrument does a pool player play? A cue stick guitar.";MUSIC
"What do musicians say when they mess up a note? Son of a Pitch.";MUSIC
"What do you all a train that sneezes? Achoo-choo train.";OTHER
"Bomb defusing is so intense, it comes down to the Wire every time.";OTHER
"He must be a math genius, his solutions are on Point.";MATH
"My friend was Wine-ing after he got ticketed for drinking and driving, so I told him to just Beer with it.";OTHER
"It's just a toy car, there's nothing to Ride home about.";OTHER
"What can you conclude upon seeing someone crying in math class? They did too much Sobtraction.";MATH
"How did you get so many bruises just from shopping?! Because it's Boxing day!";OTHER
"My school's bell was broken today, it was so quiet. I guess it deserves the No Bell Peace prize.";OTHER
"Why do lumberjacks always seem annoyed? Because people Axe them too many questions.";OTHER
"You should .com visit my website.";OTHER
"I thought having 2 brains would be a good thing, now I'll have to think Twice on that.";
"Sorry, broken scissors just won't Cut it for me.";OTHER
"I never use my vacuum because it Sucks.";OTHER
"I'm a attractive lab monitor because when I enter the room, all the computers gets turned on.";OTHER
"I went to shop for a boat today, it was on Sail!";OTHER
"I'm pregnant... What?! You've got to be Kid-in-me!";OTHER
"I'm so good at sleeping that I can do it with my eyes closed!";OTHER
"How loud should I play this note? Forte decibels.";PHYSICS/MUSIC
"Why do photons never notice me? They got no Time.";PHYSICS
"In Einstein's world, the biggest question is: 2c or not 2c?";PHYSICS
"I don't need to tell you how good these mics are, they speak for themselves!";OTHER
"I love graphing, but for some people, graphing is where they draw the Line.";MATH
"Did you see the video on the new strand of bacteria they discovered? It's Spreading across the web!";BIOLOGY
"I hate the floor function, it lets me Down every time.";MATH
"I hate fixing windows, it's a Pane.";OTHER
"Pikachu is Grounded for electrocuting his friends.";OTHER
"Do not get close to the angry computer! It will Byte!";COMP-SCI
"You watched 'Finding Nemo' already? I've been looking for it everywhere!";OTHER
"Can I borrow you hammer? Sure, knock yourself out.";OTHER
"What do people learn in bio class? The endocrying system";BIOLOGY
"I went to see this drama production on puns today, it was a play on words.";OTHER
"With great power, comes with great resPunsibility";OTHER
"What's your favourite sport? Ping-Pun.";OTHER
"Confusing physics question: A high speed boat is moving at sea at c, what do you see?";PHYSICS
"He said the car ride only lasts for 5 minutes, but he got carried away.";OTHER
"E = mc² is a weapon of Mass destruction.";PHYSICS
"Mr.Schrödinger, how would you like it? Crispy or grilled? Why not both?";PHYSICS
"Why do you drink so much like your dad? I guess it Rums in the family.";OTHER
"Now I know why I kill every math test, I have a Sharp calculator.";MATH
"Why are photography test questions always out of 3? Because it's the rule of 3rds.";OTHER
"The font you choose for memes has a big Impact on its outcome.";OTHER
"Ahh tape doesn't work, I'll just Stick with glue.";OTHER
"How do you calculate the net force on a ship? Mast times acceleration.";PHYSICS
"After seeing my friend's new handsome hair style, I feel gel less.";OTHER
"Did you hear Bruno Mars's song Grenade? Yea, it Blows.";OTHER
"What do you call those explained forces in non-inertial frames of references? Faketicious forces.";PHYSICS
"Our country have stopped using coins, they said it's time for Change.";OTHER
"Why is your whole family bald? InHairitance.";OTHER
"What is the similarity between women and Pi? They both go on and on.";OTHER
"I failed my quiz on the alphabet, the only letter I got was F.";OTHER
"Whoa he told the truth for once, that was Honestpected.";OTHER
"The happiest vegetable is the Ha-lapeno.";OTHER
"I have a Limited edition Calculus textbook.";MATH
"I can't find this limit, I hope l'Hôpital's rule will give us an Aid";MATH
"Until your child is born, whoever the father is will not be A parent.";OTHER
"How does Iodine ask Oxygen out? Iodate you.";CHEMISTRY
"When I tried to shop for a Ford online, it said 'Ford O Ford error, car not found'";OTHER
"A bird that can't fly? For Rio??";OTHER
"Two statisticians tied at 1-1 in a game, I guess they broke even.";MATH
"You can't just calculate the limit directly, you have to take on a different Approach.";MATH
"IOnly use standard input and output.";COMP-SCI
"Brain surgery is only done on someone who's every open minded.";OTHER
"I wasn't here for music class today, were there any notes? Yes... A LOT.";MUSIC
"Our calc class needs us because there's no Calculus without 'us'.";MATH
"Programmers never get good marks cause they always get C or C+ on their tests.";COMP-SCI
"Programmers' favourite food? C food.";COMP-SCI
"I like working with glue because it always sticks to my plan.";OTHER
"I don't know what frequency she is screaming at but it Hertz my ears.";PHYSICS
"I don't C the point of integrating.";MATH
"What's a black board's favourite snack? Chalkolate.";OTHER
"Where do cats eat? In the Catfeteria.";OTHER
"My philosophy idea failed... It's ok, it's the thought that counts.";PHILOSOPHY
"The most common choices on a biology multiple choice test are DNA.";BIOLOGY
"While the most common choices on a math multiple choice test are DNE.";MATH
"Protractors are always depressed because they can never find their other half.";MATH
"Wanna help me make a nuke? I can't do it without U.";PHYSICS/CHEMISTRY
"Did you how I managed to escape Iraq? Iran.";GEO
"Our calculus teacher assigned all the homework to optimize our learning.";MATH
"Find the acceleration of the car a(t) 2 seconds.";t)
"Out of the 26 of you, only 3 made the cut: 'c', 'u' and 't'.";OTHER
"Breaking News: Truck runs into glassware store.";OTHER
"You know what doesn't make Cents? Pennies.";OTHER
"Our school removed all the black boards, but the one bright side, we got new white boards instead.";OTHER
"My hand-made rubber band gun sure comes in Handy.";OTHER
"All my math tests are messy because there's Pi everywhere.";MATH
"If the English language could stop having sew many words that sound the same that wood be grate.";OTHER
"I love lawyers, they Rule.";OTHER
"Before music existed, no one thought the world would Bb.";MUSIC
"How wast he movie Shrek? Meh, so so, mediogre.";OTHER
"Mr.Boomerang we can't serve you right now, please come back later.";OTHER
"My best physics student fell off a cliff, he had so much potential...";PHYSICS
"At one point in time, I was addicted to my Calculus homework.";MATH
"Weeds are growing uncontrollably in my year. Bet you never sow that coming.";OTHER
"These headphones are broken, I can't hear jack s**t.";OTHER
"What's the name of that Pho place we ate at last time? Uhh... I Pho-got.";OTHER
"Don't have an idea on the size of the library? Look at my panorama, you'll get the bigger picture.";OTHER
"Seeing three crazy girls moving around in an elevator as they descend to the main floor is wrong on so many levels.";OTHER
"Least environmental friendly fuel company? Esso, the combustion release so much Esso 2.";CHEMISTRY
"The bright light blinded me, how eyeronic.";OTHER
"Why do iPhone users never go to the doctor? Because an Apple a day keeps the doctor away.";OTHER
"I almost got shot! Pew, that was close.";OTHER
"I bricked my Android phone when I tried to root it, it's a Nokia now.";OTHER
"Your runny nose snot my problem.";OTHER
"Endless music is the best, I'd rate it 24/7.";OTHER
"Jokes about skeletons are so Humerus.";BIOLOGY
"Units of acceleration for an osilating object? - Meters per secant squared.";MATH/PHYSICS
"Dimonds are rare, so if you find any, seldom to me.";OTHER
"I always lose my best erasers beacause they leave no traces behind.";OTHER
"A chemistry scholar got his pHDegree.";CHEMISTRY
"Don't listen to Drake's music when driving, it's illegal to Drake and drive.";OTHER
"I searched up 'Finding Nemo' on Netflix, it said 'No results were found.'";OTHER
"Unintended or Punintended? That is the question.";OTHER/SHAKESPEARE
"What if Einstein's theory of Relativity was wrong? It's ok, it's the thought that counts.";PHYSICS
"Sorry, parallel lines don't meet our requirements.";MATH
"What do you major in? Music.";MUSIC
"Ikea book shelves don't have instructions... Yea, they are pretty shelf explanatory.";OTHER
"I am Chinese and I am cheap, why? Because I'm made in China.";OTHER
"The sin law lies, and lying is a sin.";OTHER
"Unit for measuring the loudness of an electric guitar? Amps.";PHYSICS/MUSIC
"I'm bringing beer to school, it's a quite a whisky move.";OTHER
"I forgot how to name Esters...OATE I REMEMEBER!";CHEMISTRY
"What's a dog's favourite instrument? A trom-bone.";MUSIC
"How do you ask a statistician out? You datum.";MATH
"My favourite Green Day song? 21 Puns.";MUSIC
"The only things that are right on your test are the corners!";MATH
"Learning about the 3rd dimension today in math really stood out to me.";MATH
"I showed my crew how to make the invisible suit many times. I thought I made myself clear but they still don't see what I did.";OTHER
"What do you call an immigrant zombie? Flesh off the boat.";OTHER
"Please don't shoot, I pun in peace.";OTHER
"What do you call a fake trophy? A trollphy.";OTHER
"We missed the storm, it went right over our heads.";OTHER
"What's so great about math commercials? Well the ADs are big pluses.";MATH
"U and I should be together. Yeah on a keyboard maybe.";OTHER
"Upon hearing that the world is going to end the next day, people are running like there's no tomorrow.";OTHER
"My friend skipped his lecture on Integrals, so I summed it up in one line for him";MATH
"My friend fell off of a cliff! Oh, mg!";PHYSICS
"Let's do a fundraiser for a new microphone, our voices must be heard.";OTHER
"My friend subtracted his numbers in the wrong order, it makes a huge difference!";MATH
